"sim","x","y","t"
"beta1",446000,4627000,2022-05-01 00:00:00
"beta1",446000,4627750,2022-05-01 01:00:00
"beta1",446442.720011921,4627609.55474152,2022-05-01 02:00:00
"beta1",446705.557819924,4628201.43589755,2022-05-01 03:00:00
"beta1",447206.460340718,4629107.3986772,2022-05-01 04:00:00
"beta1",448098.949023968,4629311.71451614,2022-05-01 05:00:00
"beta1",448733.557077672,4629330.06558122,2022-05-01 06:00:00
"beta1",448737.138320237,4627938.82951858,2022-05-01 07:00:00
"beta1",448181.594520794,4628073.50801404,2022-05-01 08:00:00
"beta1",448481.428736869,4627708.99085423,2022-05-01 09:00:00
"beta1",449602.118194829,4627420.84019051,2022-05-01 10:00:00
"beta1",449397.90428833,4627706.59944322,2022-05-01 11:00:00
"beta1",449376.098900155,4628308.58728183,2022-05-01 12:00:00
"beta1",449154.116132748,4627707.77872802,2022-05-01 13:00:00
"beta1",449701.309684839,4627384.06206429,2022-05-01 14:00:00
"beta1",449158.146316577,4627484.74167602,2022-05-01 15:00:00
"beta1",450211.377092772,4627650.27229884,2022-05-01 16:00:00
"beta1",451173.946843521,4627705.26579273,2022-05-01 17:00:00
"beta1",451118.784559721,4628114.57581843,2022-05-01 18:00:00
"beta1",451608.845924771,4628354.40307646,2022-05-01 19:00:00
"beta1",452507.597151731,4629597.87268419,2022-05-01 20:00:00
"beta1",452074.21671858,4629045.58598203,2022-05-01 21:00:00
"beta1",451904.22838573,4628804.65439182,2022-05-01 22:00:00
"beta1",451895.350188574,4627960.6195386,2022-05-01 23:00:00
"beta1",451538.050505874,4628594.93006977,2022-05-02 00:00:00
"beta1",450611.172579283,4628469.96900604,2022-05-02 01:00:00
"beta1",451437.757237357,4628576.14898144,2022-05-02 02:00:00
"beta1",450702.926425352,4628751.55999226,2022-05-02 03:00:00
"beta1",450976.528218347,4627811.236066,2022-05-02 04:00:00
"beta1",450288.199540821,4627856.41037541,2022-05-02 05:00:00
"beta1",450371.786805687,4627822.77525443,2022-05-02 06:00:00
"beta1",451539.978552372,4629108.98212258,2022-05-02 07:00:00
"beta1",451971.133383081,4629791.81635904,2022-05-02 08:00:00
"beta1",452534.372207093,4629366.03540731,2022-05-02 09:00:00
"beta1",452183.085372469,4629060.76649268,2022-05-02 10:00:00
"beta1",452649.493851521,4629303.3823297,2022-05-02 11:00:00
"beta1",452098.039902552,4628905.42867624,2022-05-02 12:00:00
"beta1",452038.456848951,4628377.85549698,2022-05-02 13:00:00
"beta1",451876.801638459,4628916.19173784,2022-05-02 14:00:00
"beta1",451260.448236923,4629656.99519618,2022-05-02 15:00:00
"beta1",451539.098614757,4630220.01872146,2022-05-02 16:00:00
"beta1",450720.296851456,4630982.86901601,2022-05-02 17:00:00
"beta1",450762.124657072,4630450.65557681,2022-05-02 18:00:00
"beta1",450698.8555817,4629920.60527978,2022-05-02 19:00:00
"beta1",449932.682306856,4629504.82795332,2022-05-02 20:00:00
"beta1",449402.729321437,4628966.01182279,2022-05-02 21:00:00
"beta1",448813.971785395,4629165.12203187,2022-05-02 22:00:00
"beta1",448276.18316261,4628780.08440335,2022-05-02 23:00:00
"beta1",448297.944449692,4628394.69728152,2022-05-03 00:00:00
"beta1",448300.799706321,4627724.16881487,2022-05-03 01:00:00
"beta1",448106.408147675,4628762.16575471,2022-05-03 02:00:00
"beta1",448656.759193195,4628406.21658909,2022-05-03 03:00:00
"beta1",447078.026522272,4628933.294577,2022-05-03 04:00:00
"beta1",446544.9095985,4628484.85221276,2022-05-03 05:00:00
"beta1",445930.122761084,4628021.93818678,2022-05-03 06:00:00
"beta1",446121.980605483,4628860.51324895,2022-05-03 07:00:00
"beta1",445807.855525022,4629370.17463618,2022-05-03 08:00:00
"beta1",446717.269562458,4629455.70225163,2022-05-03 09:00:00
"beta1",446105.668372962,4629378.52438935,2022-05-03 10:00:00
"beta1",446087.857634424,4629180.25815664,2022-05-03 11:00:00
"beta1",445749.346457505,4629078.29603393,2022-05-03 12:00:00
